geneA	geneB	p-Value	Log Odds Ratio	Association
CDK6	CDKN2B	0.47178066376240746	0.4519851237430572	Tendency towards co-occurrence
CDK6	MYC	0.3308094760652687	1.13370360847938	Tendency towards co-occurrence
CDK6	CDKN1A	0.7216527659433699	-Infinity	Tendency towards mutual exclusivity
CDK6	CDKN1B	0.9484636031489324	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F1	0.836444614697804	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F2	0.16355538530163596	2.02595285672885	Tendency towards co-occurrence
CDK6	E2F3	0.6950257288600273	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F4	0.9317653002770311	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F5	0.7918038397683618	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F6	0.9654004532055943	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F7	0.806466873837885	-Infinity	Tendency towards mutual exclusivity
CDK6	E2F8	0.7631175960075206	-Infinity	Tendency towards mutual exclusivity
CDK6	SRC	0.8990742389431402	-Infinity	Tendency towards mutual exclusivity
CDK6	JAK1	0.8213463364545979	-Infinity	Tendency towards mutual exclusivity
CDK6	JAK2	0.7352688558666309	-Infinity	Tendency towards mutual exclusivity
CDK6	STAT1	0.06823469972325694	3.1463051320333655	Tendency towards co-occurrence
CDK6	STAT2	0.8830764766845693	-Infinity	Tendency towards mutual exclusivity
CDK6	STAT3	0.836444614697804	-Infinity	Tendency towards mutual exclusivity
CDK6	STAT5A	0.9317653002770311	-Infinity	Tendency towards mutual exclusivity
CDK6	STAT5B	0.8990742389431402	-Infinity	Tendency towards mutual exclusivity
CCND2	CDKN2A	0.33462865969572164	0.512924260422912	Tendency towards co-occurrence
CCND2	CDKN2B	0.4618803046780898	-0.41572160827535354	Tendency towards mutual exclusivity
CCND2	MYC	0.024378581056053884	1.919241901973152	Tendency towards co-occurrence(Significant)
CCND2	CDKN1A	0.4465070523161647	0.6518655215866415	Tendency towards co-occurrence
CCND2	CDKN1B	0.09146668479145546	2.847812143477369	Tendency towards co-occurrence
CCND2	E2F1	0.27660789335835606	1.3180452605857838	Tendency towards co-occurrence
CCND2	E2F2	0.27660789335835606	1.3180452605857838	Tendency towards co-occurrence
CCND2	E2F3	0.4829909685260978	0.5329475408532613	Tendency towards co-occurrence
CCND2	E2F4	0.8797417664867191	-Infinity	Tendency towards mutual exclusivity
CCND2	E2F5	0.3450925773970062	1.019148117313863	Tendency towards co-occurrence
CCND2	E2F6	0.9381594015741271	-Infinity	Tendency towards mutual exclusivity
CCND2	E2F7	0.049064684802498024	2.035638919021443	Tendency towards co-occurrence(Significant)
CCND2	E2F8	0.6125146825664185	-Infinity	Tendency towards mutual exclusivity
CCND2	SRC	0.8245801520783603	-Infinity	Tendency towards mutual exclusivity
